Gene,XGBoostGain
PF3D7_1301300,14.1563931
PF3D7_1124500,3.162257211889333
PF3D7_1033100,4.6957476085725
PF3D7_0522800,3.3157893425
PF3D7_1459600,1.8894381523333337
PF3D7_1010700,11.421877995000001
PF3D7_0512500,6.292818303333333
PF3D7_0420200,2.03371522705
PF3D7_1406000,8.59072469
PF3D7_1201100,7.14034462
PF3D7_1317800,4.142390729
PF3D7_0301300,3.7304143235824996
PF3D7_1349200,5.7182012595
PF3D7_1102300,5.93287659
PF3D7_1106000,8.29172516
PF3D7_1209700,3.98235798
PF3D7_1343500,1.25818157
PF3D7_0818400,3.646741628333333
PF3D7_0220300,2.66144848
PF3D7_0617200,0.350446701
PF3D7_1222800,0.5061700643333333
PF3D7_1239200,6.757343295
PF3D7_1114900,3.6679185615
PF3D7_0418200,3.84121704
PF3D7_1412000,2.038319992
PF3D7_0825300,5.12769318
PF3D7_1365600,4.445343654
PF3D7_0532100,0.25533455635
PF3D7_0322400,15.0914431
PF3D7_1421500,3.6761089399999998
PF3D7_0106500,3.0883849850000002
PF3D7_1408400,2.2939504875714287
PF3D7_0206600,7.8151016250000005
PF3D7_0404200,1.2812451405
PF3D7_0515200,6.268346974
PF3D7_1222300,6.19382477
PF3D7_0417100,5.15700197
PF3D7_1135900,10.1303682
PF3D7_0324800,7.17341518
PF3D7_0924200,7.71352768
PF3D7_1038700,6.59013387876
PF3D7_1115600,3.655893197075
PF3D7_0708400,2.29036972166
PF3D7_1362400,13.2078543
PF3D7_0932600,7.03470039
PF3D7_1303700,5.83873367
PF3D7_1469400,9.0492513
PF3D7_0615500,4.79929018
PF3D7_1122900,1.98492706
PF3D7_0320000,3.58781719
PF3D7_0935400,6.678320167714285
PF3D7_1121500,11.49772691
PF3D7_1300100,6.750618935
PF3D7_0617300,3.91434669
PF3D7_1031600,4.80700171
PF3D7_0622900,8.448986054999999
PF3D7_1223100,5.39971876
PF3D7_0628100,8.46554947
PF3D7_1415300,9.29148674
PF3D7_0806300,7.670187
PF3D7_1350000,5.04940987
PF3D7_1459900,1.851474285
PF3D7_0818300,2.7037548425
PF3D7_1041000,1.6725540700000001
PF3D7_1406700,4.809274372737499
PF3D7_1470900,7.16404724
PF3D7_1443300,6.74993944
PF3D7_0708600,1.841084365
PF3D7_1225100,2.8450693618333336
PF3D7_0917000,5.3873082995
PF3D7_1221600,4.9557062502
PF3D7_1150200,2.7063800720999995
PF3D7_0308100,5.3397370550000005
PF3D7_0216000,2.4689131215
PF3D7_0603400,6.13996506
PF3D7_0321200,4.14631844
PF3D7_1470700,2.5006379785000004
PF3D7_1209300,3.0519081675
PF3D7_0514000,4.07852745
PF3D7_1437800,3.75223923
PF3D7_0830300,3.19236755
PF3D7_0220600,0.467720777
PF3D7_1133600,6.408928392833334
PF3D7_1001500,2.9631351237142853
PF3D7_0202500,3.8879048810000003
PF3D7_1249600,3.446618619
PF3D7_1466400,2.661066303
PF3D7_1419200,6.19535351
PF3D7_0108800,2.09767032
PF3D7_1458100,5.90792847
PF3D7_0219200,1.06981695
PF3D7_0311400,0.325728893
PF3D7_1140600,2.00400782
PF3D7_0621900,2.2343417395
PF3D7_1300400,2.43143272
PF3D7_0610400,0.000396728516
PF3D7_1106400,0.587820649
PF3D7_0511400,2.1134883102
PF3D7_1466900,3.1467252290000003
PF3D7_0926400,3.1452210633999997
PF3D7_1111800,5.036434890000001
PF3D7_0216400,5.48330498
PF3D7_0420100,5.43882418
PF3D7_0315900,0.592442036
PF3D7_0727700,1.8139186424999998
PF3D7_1480100,1.43109286
PF3D7_0114900,1.1131496628133333
PF3D7_1223800,2.231474948333333
PF3D7_1017200,4.96305466
PF3D7_1202800,3.87084579
PF3D7_1477800,2.41927981
PF3D7_0821300,1.1081049605
PF3D7_1471100,5.49457169
PF3D7_1143000,5.23654413
PF3D7_0713200,4.61379242
PF3D7_1475900,5.93836784
PF3D7_1133400,2.522857188
PF3D7_0709500,1.22002566
PF3D7_0416400,2.70804
PF3D7_1400300,2.76164246
PF3D7_0616900,3.7863053705
PF3D7_1202600,3.27510405
PF3D7_1115000,3.749727546033333
PF3D7_1237900,6.04462337
PF3D7_0511300,6.89134884
PF3D7_0909000,3.97790337
PF3D7_0514200,4.93917418
PF3D7_1237000,0.06675834580000001
PF3D7_1129800,8.404464634
PF3D7_0724800,5.10210371
PF3D7_1350500,4.98703003
PF3D7_0215700,4.55176926
PF3D7_1037700,2.30628586
PF3D7_0532900,1.06360638
PF3D7_1013100,3.9232434482500005
PF3D7_1150300,1.102886879
PF3D7_1464700,7.29956913
PF3D7_0202300,5.82978725
PF3D7_1343100,3.084846615
PF3D7_0424000,0.22140345
PF3D7_1354400,4.55550289
PF3D7_1453900,6.18272305
PF3D7_0723100,2.92188644
PF3D7_1318400,2.62853503
PF3D7_0715100,6.26660156
PF3D7_0934800,3.5994873
PF3D7_1420600,3.00986099
PF3D7_0219700,1.6157378844999999
PF3D7_1124800,4.99525499
PF3D7_0930100,4.29145432
